Generation,evals,avg,std,min,max,best_one,fitness_best_one
0,800,[   8.         2221.53361159],[  0.         156.05483195],[   8.         1766.40680313],[   8.         2539.83124173],"[2, 12, 18, 15, 16, 7, 23, 17, 13, 21, 9, 6, 4, 5, 20, 8, 11, 19, 1, 10, 14, 25, 22, 24, 3]","(8.0, 1766.4068031317868)"
1,678,[   8.         2046.76791159],[ 0.         89.78707097],[   8.         1766.40680313],[   8.         2186.67614222],"[2, 12, 18, 15, 16, 7, 23, 17, 13, 21, 9, 6, 4, 5, 20, 8, 11, 19, 1, 10, 14, 25, 22, 24, 3]","(8.0, 1766.4068031317868)"
2,670,[   8.       1950.247161],[ 0.         57.11799475],[   8.         1766.40680313],[   8.         2024.76617364],"[2, 12, 18, 15, 16, 7, 23, 17, 13, 21, 9, 6, 4, 5, 20, 8, 11, 19, 1, 10, 14, 25, 22, 24, 3]","(8.0, 1766.4068031317868)"
3,684,[   8.       1891.027192],[ 0.         49.66970425],[   8.         1746.95201442],[   8.         1948.07814021],"[14, 23, 16, 2, 6, 5, 20, 25, 17, 10, 19, 12, 8, 7, 15, 21, 22, 4, 1, 24, 11, 18, 13, 3, 9]","(8.0, 1746.9520144155658)"
4,702,[   8.        1838.5862824],[ 0.         40.28556785],[   8.         1745.83882864],[   8.         1898.94034968],"[14, 23, 25, 2, 6, 5, 20, 16, 17, 10, 19, 12, 8, 7, 15, 21, 22, 4, 1, 24, 11, 18, 9, 3, 13]","(8.0, 1745.838828640648)"
5,674,[   8.        1797.6395256],[ 0.         21.74173829],[   8.         1736.64206059],[   8.         1828.25634057],"[23, 19, 21, 8, 22, 12, 7, 3, 18, 17, 4, 13, 1, 24, 20, 6, 16, 15, 2, 10, 5, 9, 25, 14, 11]","(8.0, 1736.642060593255)"
6,682,[   8.         1775.75266865],[ 0.         12.83996819],[   8.         1693.46483934],[   8.         1796.68779113],"[2, 12, 18, 15, 16, 7, 10, 17, 13, 21, 9, 6, 4, 5, 20, 8, 11, 19, 1, 23, 14, 25, 22, 24, 3]","(8.0, 1693.4648393449534)"
7,670,[   8.         1762.27234994],[ 0.         11.88325999],[   8.         1685.19235076],[   8.         1776.88328613],"[14, 23, 16, 2, 6, 9, 20, 25, 17, 10, 19, 4, 8, 7, 15, 21, 22, 13, 1, 24, 11, 18, 5, 3, 12]","(8.0, 1685.1923507648632)"
8,700,[   8.         1752.38059983],[ 0.         14.52751829],[   8.         1675.42712762],[   8.         1766.40680313],"[2, 12, 18, 15, 16, 7, 5, 17, 13, 22, 9, 6, 24, 10, 11, 8, 20, 19, 1, 23, 14, 25, 21, 4, 3]","(8.0, 1675.4271276200166)"
9,708,[   8.         1739.96583707],[ 0.         16.88887567],[   8.         1671.33929131],[   8.         1753.59945059],"[19, 20, 4, 22, 14, 8, 7, 6, 9, 12, 15, 10, 2, 11, 5, 21, 24, 13, 1, 23, 25, 3, 17, 16, 18]","(8.0, 1671.339291308228)"
10,648,[   8.        1726.1703219],[ 0.         18.90515945],[   8.       1664.005058],[   8.         1745.83882864],"[2, 12, 18, 15, 16, 7, 10, 17, 13, 21, 9, 6, 20, 5, 4, 8, 11, 19, 1, 23, 14, 25, 22, 24, 3]","(8.0, 1664.0050579979584)"
11,680,[   8.         1707.52501396],[ 0.         15.17204615],[   8.         1638.80828368],[   8.         1731.79255351],"[14, 23, 16, 2, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 5, 3, 12]","(8.0, 1638.8082836784006)"
12,688,[   8.         1692.98171391],[ 0.         10.69254904],[   8.         1638.79876119],[   8.         1709.53087799],"[14, 23, 18, 2, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 16, 5, 3, 12]","(8.0, 1638.7987611909045)"
13,668,[   8.         1684.64655454],[ 0.        11.1660382],[   8.         1638.79876119],[   8.         1693.46483934],"[14, 23, 18, 2, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 16, 5, 3, 12]","(8.0, 1638.7987611909045)"
14,672,[   8.         1675.22235776],[ 0.         11.64451518],[   8.        1635.5387385],[   8.         1685.19235076],"[14, 23, 16, 2, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 3, 21, 22, 13, 1, 10, 15, 18, 5, 11, 12]","(8.0, 1635.5387385029835)"
15,696,[   8.         1665.49884761],[ 0.        11.3204131],[   8.        1635.5387385],[   8.         1675.42712762],"[14, 23, 16, 2, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 3, 21, 22, 13, 1, 10, 15, 18, 5, 11, 12]","(8.0, 1635.5387385029835)"
16,678,[   8.         1655.98610798],[ 0.         10.96941654],[   8.         1619.04351061],[   8.         1669.43192271],"[14, 23, 3, 5, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1619.043510610789)"
17,692,[   8.        1646.2806293],[0.         8.72033769],[   8.         1619.04351061],[   8.         1660.14914894],"[14, 23, 3, 5, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1619.043510610789)"
18,682,[   8.         1638.24084259],[0.         2.77916918],[   8.         1619.04351061],[   8.         1642.29744206],"[14, 23, 3, 5, 6, 9, 20, 25, 17, 24, 19, 4, 8, 7, 11, 21, 22, 13, 1, 10, 15, 18, 2, 16, 12]","(8.0, 1619.043510610789)"
